Company,"Default (1=yes, 0=no), Y","Cash Flow/Total Debt (CF coverage), %, X1","Net Income/Total Assets (RoA), %, X2","Current Assets/Current Liabilities (liquidity), %, X3","Net Sales/Current Assets (asset turnover), %, X4"
1,1,-45,-41,109,222
2,1,-56,-31,151,625
3,1,6,2,101,250
4,1,-7,-9,145,385
5,1,-10,-9,156,149
6,1,-14,-7,71,357
7,1,4,1,150,141
8,1,-6,-6,137,250
9,1,7,-1,137,294
10,1,-13,-14,142,227
11,1,-22,-30,33,556
12,1,7,2,131,400
13,1,1,0,215,143
14,1,-28,-23,119,152
15,1,15,5,188,370
16,1,37,11,199,263
17,1,-8,-8,151,238
18,1,5,3,168,105
19,1,1,0,126,167
20,1,12,11,114,588
21,1,-28,-27,127,196
22,0,51,10,249,185
23,0,8,2,201,189
24,0,38,11,327,286
25,0,19,5,225,303
26,0,32,7,424,159
27,0,31,5,445,145
28,0,12,5,252,145
29,0,-2,2,205,286
30,0,22,8,235,250
31,0,17,7,180,192
32,0,15,5,217,182
33,0,-10,-1,250,172
34,0,14,-3,46,385
35,0,14,7,261,192
36,0,15,6,223,179
37,0,16,5,231,500
38,0,29,6,184,263
39,0,54,11,233,208
40,0,-33,-9,301,213
41,0,48,9,124,556
42,0,56,11,429,222
43,0,20,8,199,333
44,0,47,14,292,222
45,0,17,4,245,714
46,0,58,4,506,769
