date,year,month,MktRF,SMB,HML,RMW,CMA,MOM,RF,,
196307,1963,7,-0.39,-0.41,-0.97,0.68,-1.18,0.9,0.27,,
196308,1963,8,5.07,-0.8,1.8,0.36,-0.35,1.01,0.25,,
196309,1963,9,-1.57,-0.52,0.13,-0.71,0.29,0.19,0.27,,
196310,1963,10,2.53,-1.39,-0.1,2.8,-2.01,3.12,0.29,,
196311,1963,11,-0.85,-0.88,1.75,-0.51,2.24,-0.74,0.27,,
196312,1963,12,1.83,-2.1,-0.02,0.03,-0.07,1.75,0.29,,
196401,1964,1,2.24,0.13,1.48,0.17,1.47,0.86,0.3,,
196402,1964,2,1.54,0.28,2.81,-0.05,0.91,0.26,0.26,,
196403,1964,3,1.41,1.23,3.4,-2.21,3.22,0.75,0.31,,
196404,1964,4,0.1,-1.52,-0.67,-1.27,-1.08,-0.58,0.29,,
196405,1964,5,1.42,-0.63,1.86,-0.16,0.17,2.57,0.26,,
196406,1964,6,1.27,0.29,0.62,-0.28,-0.17,0.46,0.3,,
196407,1964,7,1.74,0.5,0.75,0.08,1.91,-0.35,0.3,,
196408,1964,8,-1.44,0.41,0.08,0.12,0.35,-0.22,0.28,,
196409,1964,9,2.69,-0.34,1.7,-0.56,0.62,-0.41,0.28,,
196410,1964,10,0.59,0.87,1.17,-0.43,0.47,0.08,0.29,,
196411,1964,11,0,-0.15,-1.96,0.63,-0.26,1.03,0.29,,
196412,1964,12,0.03,-0.69,-2.48,1.07,-1.5,-0.74,0.31,,
196501,1965,1,3.54,2.44,0.12,0.91,0.1,-1.44,0.28,,
196502,1965,2,0.44,3.31,0.11,0.23,-0.68,0.32,0.3,,
196503,1965,3,-1.34,2.12,1.03,-0.32,0.69,0.15,0.36,,
196504,1965,4,3.11,1.05,0.66,0.3,-2.2,2.63,0.31,,
196505,1965,5,-0.77,0.1,-1.61,-0.45,0.53,0.6,0.31,,
196506,1965,6,-5.51,-4.28,0.59,0.22,0.37,-3.13,0.35,,
196507,1965,7,1.43,1.08,2.2,-1.37,0.03,4.1,0.31,,
196508,1965,8,2.73,2.71,-1,1.9,-0.74,2.58,0.33,,
196509,1965,9,2.86,0.62,-0.13,-0.89,0.8,3.3,0.31,,
196510,1965,10,2.6,3.47,1.56,1.17,-0.65,3.46,0.31,,
196511,1965,11,-0.03,5.19,0.15,-1.01,-0.94,4.45,0.35,,
196512,1965,12,1.01,2.66,2.03,-1.14,-0.53,0.12,0.33,,
196601,1966,1,0.72,4.68,3.56,-2.82,-0.11,5.39,0.38,,
196602,1966,2,-1.21,4.71,0.33,-0.17,-1.49,4.57,0.35,,
196603,1966,3,-2.51,0.32,-1.98,1.3,0.06,1.42,0.38,,
196604,1966,4,2.14,3.35,-0.46,0.39,-0.95,6.28,0.34,,
196605,1966,5,-5.66,-5.1,-1.63,1.64,-1.52,-4.7,0.41,,
196606,1966,6,-1.44,1.37,0.5,0.15,0.78,3.25,0.38,,
196607,1966,7,-1.63,-0.41,0.95,-0.36,1.79,-1.34,0.35,,
196608,1966,8,-7.91,-3.12,0.43,-0.09,0.8,-2.14,0.41,,
196609,1966,9,-1.06,-1.14,0.56,-1.68,2.37,-1.84,0.4,,
196610,1966,10,3.86,-6.45,2.69,-3.48,4.25,-5.26,0.45,,
196611,1966,11,1.4,3.34,-4.69,4.13,-6.62,5.72,0.4,,
196612,1966,12,0.13,2.02,-1.19,0.7,-0.34,1.06,0.4,,
196701,1967,1,8.15,9.1,2.27,0.96,-3.16,-6.93,0.43,,
196702,1967,2,0.78,3.06,-2.22,1.99,-0.99,3.52,0.36,,
196703,1967,3,3.99,1.87,0.37,0.86,-1.6,1.53,0.39,,
196704,1967,4,3.89,0.43,-2.48,2.33,-3.67,0.59,0.32,,
196705,1967,5,-4.33,2.29,1.09,-1.73,1.73,0.72,0.33,,
196706,1967,6,2.41,6.43,0.85,-0.62,-2.42,6,0.27,,
196707,1967,7,4.58,3.54,2.73,0.48,2.7,-1.07,0.31,,
196708,1967,8,-0.89,0.72,1.44,0.3,1.45,-1.38,0.31,,
196709,1967,9,3.11,2.44,-2.5,0.2,-0.95,2.52,0.32,,
196710,1967,10,-3.09,0.53,-3.3,1.01,-2.62,3.67,0.39,,
196711,1967,11,0.37,-0.04,-1.7,1.34,-2.34,1.26,0.36,,
196712,1967,12,3.05,5.75,-0.53,-0.81,0.13,3.25,0.33,,
196801,1968,1,-4.06,4.51,4.8,-4.62,6.46,-4.7,0.4,,
196802,1968,2,-3.75,-2.91,1.28,-0.16,2.45,-3.43,0.39,,
196803,1968,3,0.2,-1.59,-0.59,1.05,-1.1,3.23,0.38,,
196804,1968,4,9.05,6.18,-1.13,2.69,-3.65,5.09,0.43,,
196805,1968,5,2.28,7,0.85,0.43,-1.92,3.8,0.45,,
196806,1968,6,0.69,-0.28,0.73,-1.41,2.76,-1.9,0.43,,
196807,1968,7,-2.72,-1.41,5.39,-3.13,3.72,-0.88,0.48,,
196808,1968,8,1.34,2.27,1.01,-0.7,0.48,1.89,0.42,,
196809,1968,9,4.03,2.81,0.3,-1.99,0.87,-0.65,0.43,,
196810,1968,10,0.42,-0.42,2.86,-1.32,2.7,-1.46,0.44,,
196811,1968,11,5.43,2.39,-0.92,0.43,-2.43,1.75,0.42,,
196812,1968,12,-3.94,3.52,-0.01,-1.86,1.76,-0.01,0.43,,
196901,1969,1,-1.25,-0.44,1.67,-1.55,1.38,-0.17,0.53,,
196902,1969,2,-5.84,-4.16,0.91,2.07,0.83,-2.36,0.46,,
196903,1969,3,2.64,-0.45,-0.51,-1.43,-0.35,3.97,0.46,,
196904,1969,4,1.46,-0.8,-0.03,0.41,0.06,1.13,0.53,,
196905,1969,5,-0.1,-0.11,0.7,-0.95,1.39,1.7,0.48,,
196906,1969,6,-7.18,-5.45,-1.08,4.32,-1.6,-2.3,0.51,,
196907,1969,7,-7,-3.41,1.2,1.48,1.91,1.71,0.53,,
196908,1969,8,4.68,0.7,-3.79,1.13,-4.02,2.17,0.5,,
196909,1969,9,-2.98,1.29,-3.27,3.39,-0.82,2.52,0.62,,
196910,1969,10,5.06,3.96,-3.16,0.05,-2.15,-4.31,0.6,,
196911,1969,11,-3.79,-2.45,-1.19,1.46,0.3,3.66,0.52,,
196912,1969,12,-2.63,-3.76,-2.86,2.54,-1.81,4.96,0.64,,
197001,1970,1,-8.1,3.12,3.13,-1.72,3.84,0.6,0.6,,
197002,1970,2,5.13,-2.76,3.93,-2.29,2.76,0.23,0.62,,
197003,1970,3,-1.06,-2.41,3.99,-1,4.29,-0.36,0.57,,
197004,1970,4,-11,-6.4,6.18,-0.64,6.21,-0.77,0.5,,
197005,1970,5,-6.92,-4.48,3.33,-1.21,3.9,-2.78,0.53,,
197006,1970,6,-5.79,-2.2,0.6,0.13,2.96,5.7,0.58,,
197007,1970,7,6.93,-0.62,0.9,-0.26,1.84,-3.14,0.52,,
197008,1970,8,4.49,1.52,1.15,0.56,-0.21,-6.55,0.53,,
197009,1970,9,4.18,8.51,-5.47,0.3,-5.83,-8.8,0.54,,
197010,1970,10,-2.28,-4.43,0.22,1.71,2.34,9.42,0.46,,
